Name,Projection,Position,Team,Salary,Opponent,Risk,Ownership
Gus Edwards ,21.341772256182917,CPT,BAL,9300.0,PIT,4.575,High
Diontae Johnson ,21.976501220585476,CPT,PIT,16200.0,BAL,4.4625,High
Benny Snell Jr. ,17.329708255917062,CPT,PIT,13200.0,BAL,3.9,High
Robert Griffin III,17.96521664074876,FLEX,BAL,8400.0,PIT,4.175,High
Ben Roethlisberger,17.454301118403286,FLEX,PIT,11400.0,BAL,3.95,High
Gus Edwards,16.303107814669602,FLEX,BAL,6200.0,PIT,3.05,High
Diontae Johnson,14.40411150891133,FLEX,PIT,10800.0,BAL,3.0,High
JuJu Smith-Schuster,13.001938766035574,FLEX,PIT,9600.0,BAL,3.0,Low
Benny Snell Jr.,8.818226539127398,FLEX,PIT,8800.0,BAL,3.0,High
Chase Claypool,4.449311507385927,FLEX,PIT,10400.0,BAL,3.0,Low
Marquise Brown,5.045165053599429,FLEX,BAL,5800.0,PIT,3.0,Low
Anthony McFarland Jr.,13.198820920527503,FLEX,PIT,2600.0,BAL,3.0,Low
Eric Ebron,10.842682111101597,FLEX,PIT,6600.0,BAL,3.0,Low
Chris Boswell,9.391686963286658,FLEX,PIT,4000.0,BAL,3.0,Low
Justin Tucker,12.770814009267962,FLEX,BAL,3800.0,PIT,3.0,Low
Willie Snead IV,1.7193212473931911,FLEX,BAL,5000.0,PIT,3.0,Low
Dez Bryant,3.751388897643655,FLEX,BAL,4800.0,PIT,3.0,Low
Steelers ,8.362418637181982,FLEX,PIT,7800.0,BAL,3.0,High
Justice Hill,8.70239231557016,FLEX,BAL,2200.0,PIT,3.0,Low
James Washington,2.405255455549301,FLEX,PIT,3600.0,BAL,2.0,Low
Ravens ,-0.7322351316379176,FLEX,BAL,3000.0,PIT,2.0,Low
Devin Duvernay,3.3722723841466244,FLEX,BAL,3200.0,PIT,2.0,Low
Luke Willson,4.741411437703414,FLEX,BAL,2400.0,PIT,2.0,Low
Miles Boykin,2.3275558825464104,FLEX,BAL,1800.0,PIT,2.0,Low
Ray-Ray McCloud III,-1.0262696541119827,FLEX,PIT,1200.0,BAL,2.0,Low
nan,nan,nan,nan,nan,nan,nan,nan
